Category,Subcategory,Sentiment,Frequency
delivery,delivery,NEG,149
delivery,delivery,NEU,112
delivery,delivery,POS,71
delay,delay,NEU,1199
delay,delay,NEG,354
delay,delay,POS,16
delay,hold,POS,15
delay,hold,NEU,15
ship,ship,NEU,378
ship,ship,NEG,263
ship,ship,POS,65
ship,send,NEU,678
ship,send,NEG,149
ship,send,POS,64
package,package,POS,53
package,package,NEU,53
package,package,NEG,22
package,box,NEU,119
package,box,NEG,10
package,box,POS,8
package,packet,NEU,3
package,packet,NEG,1
package,parcel,NEU,16
package,parcel,NEG,11
package,parcel,POS,8
track,track,NEG,80
track,track,NEU,77
track,track,POS,6
long,long,NEU,922
long,long,POS,284
long,long,NEG,140
lost,lost,NEU,13
lost,lost,POS,6
lost,lost,NEG,2
lost,lose,NEU,124
lost,lose,NEG,35
lost,lose,POS,35
late,late,NEU,424
late,late,POS,155
late,late,NEG,61
late,lately,NEU,6
late,lately,POS,5
late,lately,NEG,1
broken,crack,POS,6
broken,crack,NEU,5
broken,crack,NEG,5
broken,break,NEU,202
broken,break,NEG,135
broken,break,POS,123
broken,broken,NEU,4
broken,broken,NEG,2
broken,broken,POS,1
missing,miss,NEU,138
missing,miss,POS,95
missing,miss,NEG,23
missing,missing,NEG,1
missing,missing,NEU,1
cancel,cancel,NEG,111
cancel,cancel,NEU,53
cancel,cancel,POS,3
stolen,steal,NEG,6
stolen,steal,POS,2
stolen,steal,NEU,1
