Keywords,Sub-keywords,Frequency
comedogenic,comedogenic,65
irritating,irritating,4
irritating,irritate,60
irritating,irritated,35
irritating,irritation,117
toxic,toxic,13
allergen,allergic,64
allergen,allergy,23
sensitive,sensitive,1329
sensitive,sensitivity,23
test,test,212
test,trial,56
safe,safe,832
safe,secure,11
safe,safety,8
regulation,rule,17
regulation,regulate,8
regulation,regulating,3
quality,quality,126
standard,standard,14
certification,certification,7
certification,certify,10
approve,approve,12
approve,prove,147
