Category,Subcategory,Sentiment,Frequency
comedogenic,comedogenic,NEU,81
comedogenic,comedogenic,POS,27
comedogenic,comedogenic,NEG,6
irritating,irritating,NEU,3
irritating,irritating,NEG,2
irritating,irritate,NEU,38
irritating,irritate,NEG,31
irritating,irritate,POS,26
irritating,irritated,NEG,13
irritating,irritated,NEU,12
irritating,irritated,POS,10
irritating,irritation,NEG,52
irritating,irritation,NEU,50
irritating,irritation,POS,19
toxic,toxic,NEG,10
toxic,toxic,POS,8
toxic,toxic,NEU,3
allergen,allergic,NEU,36
allergen,allergic,NEG,18
allergen,allergic,POS,8
allergen,allergy,NEU,10
allergen,allergy,NEG,8
allergen,allergy,POS,3
sensitive,sensitive,NEU,1035
sensitive,sensitive,POS,300
sensitive,sensitive,NEG,56
sensitive,sensitivity,NEU,18
sensitive,sensitivity,POS,4
sensitive,sensitivity,NEG,1
test,test,NEU,190
test,test,POS,74
test,test,NEG,29
test,trial,NEU,38
test,trial,POS,17
test,trial,NEG,2
safe,safe,NEU,606
safe,safe,POS,233
safe,safe,NEG,27
safe,secure,POS,12
safe,secure,NEU,3
safe,secure,NEG,1
safe,safety,NEU,14
safe,safety,POS,13
regulation,rule,NEU,13
regulation,rule,POS,7
regulation,rule,NEG,1
regulation,regulate,NEU,8
regulation,regulating,NEU,3
quality,quality,POS,99
quality,quality,NEU,32
quality,quality,NEG,14
standard,standard,POS,5
standard,standard,NEU,5
standard,standard,NEG,4
certification,certification,NEU,5
certification,certification,NEG,1
certification,certify,NEU,6
certification,certify,NEG,3
certification,certify,POS,1
approve,approve,POS,5
approve,approve,NEU,4
approve,approve,NEG,3
approve,prove,POS,253
approve,prove,NEU,156
approve,prove,NEG,26
