Category,Subcategory,Sentiment,Frequency
new,new,NEU,673
new,new,POS,639
new,new,NEG,89
new,newly,POS,36
new,newly,NEU,25
new,newly,NEG,5
new,fresh,POS,27
new,fresh,NEU,18
new,fresh,NEG,5
new,recent,NEU,176
new,recent,POS,71
new,recent,NEG,19
release,release,NEU,69
release,release,POS,29
release,release,NEG,7
release,launch,NEU,1154
release,launch,POS,966
release,launch,NEG,59
release,introduce,NEU,83
release,introduce,POS,59
release,introduce,NEG,5
trend,trend,NEU,18
trend,trend,POS,6
trend,trend,NEG,1
trend,popular,POS,4
trend,popular,NEU,4
trend,popular,NEG,2
trend,famous,POS,4
trend,famous,NEG,4
trend,famous,NEU,3
trend,hot,NEU,164
trend,hot,POS,65
trend,hot,NEG,12
trend,top,NEU,257
trend,top,NEG,120
trend,top,POS,100
trend,best,POS,67
trend,best,NEU,29
trend,best,NEG,1
want,want,NEU,993
want,want,POS,368
want,want,NEG,196
want,desire,POS,60
want,desire,NEU,49
want,desire,NEG,3
want,need,NEU,1296
want,need,POS,412
want,need,NEG,109
want,wish,POS,461
want,wish,NEU,417
want,wish,NEG,21
