Keywords,Sub-keywords,Frequency
Return,return,46
Return,return policy,0
Return,restoration,1
Return,regaining,0
Return,income_tax_return,0
Return,give,1316
Return,turn_back,0
Return,take_back,0
Return,rejoin,0
Return,give_back,0
Return,recurrence,0
Return,riposte,0
Return,come_back,0
Return,pass,380
Return,revert,3024
Return,return_key,0
Return,bring_back,0
Return,retort,0
Return,reelect,0
Return,restitution,0
Return,regress,1
Return,recall,0
Return,retrovert,0
Return,tax_return,0
Refund,refund,228
Refund,refund policy,0
Refund,money back,0
Refund,repay,37
Refund,repayment,0
Refund,back,3854
Refund,paying_back,0
Refund,payoff,0
Exchange,exchange,7
Exchange,exchange policy,0
Exchange,commutation,0
Exchange,rally,173
Exchange,substitution,0
Exchange,interchange,0
Exchange,change,593
Exchange,replace,99
Exchange,switch,186
Exchange,substitute,7
Exchange,switch_over,0
Exchange,telephone_exchange,0
Exchange,convert,5
Guarantee,guarantee,2
Guarantee,warranty,0
Guarantee,warrantee,0
Guarantee,ensure,27
Guarantee,assure,609
Guarantee,secure,16
Guarantee,insure,0
Guarantee,undertake,0
Guarantee,warrant,0
Guarantee,guaranty,0
Guarantee,vouch,22
