Category,Subcategory,Sentiment,Frequency
Cleansers,cleanser,NEU,934
Cleansers,cleanser,POS,346
Cleansers,cleanser,NEG,38
Cleansers,foam,NEU,247
Cleansers,foam,POS,19
Cleansers,foam,NEG,6
Cleansers,micellar,NEU,7
Cleansers,micellar,POS,3
Cleansers,micellar,NEG,1
Exfoliants,exfoliant,NEU,90
Exfoliants,exfoliant,POS,20
Exfoliants,exfoliant,NEG,2
Exfoliants,aha,NEU,2089
Exfoliants,aha,POS,520
Exfoliants,aha,NEG,37
Exfoliants,bha,NEU,1036
Exfoliants,bha,POS,514
Exfoliants,bha,NEG,45
Exfoliants,pha,NEU,2241
Exfoliants,pha,POS,730
Exfoliants,pha,NEG,77
Exfoliants,enzyme,NEU,5
Exfoliants,enzyme,POS,1
Exfoliants,exfoliating,POS,1
Exfoliants,exfoliating,NEU,1
Exfoliants,scrub,NEU,31
Exfoliants,scrub,POS,8
Exfoliants,scrub,NEG,4
Toners,toner,NEU,814
Toners,toner,POS,240
Toners,toner,NEG,23
Toners,hydrating,NEU,11
Toners,hydrating,POS,9
Toners,essence,NEU,74
Toners,essence,POS,63
Serums,serum,NEU,5034
Serums,serum,POS,1832
Serums,serum,NEG,290
Serums,brightening,NEU,115
Serums,brightening,POS,45
Serums,antioxidant,NEU,76
Serums,antioxidant,POS,46
Serums,antioxidant,NEG,2
Serums,calming,POS,4
Moisturizers,moisturizer,NEU,1183
Moisturizers,moisturizer,POS,463
Moisturizers,moisturizer,NEG,60
Moisturizers,lotion,NEU,329
Moisturizers,lotion,POS,113
Moisturizers,lotion,NEG,7
Moisturizers,ointment,NEG,9
Moisturizers,ointment,NEU,3
Moisturizers,hydrating,NEU,11
Moisturizers,hydrating,POS,9
Masks,mask,NEU,211
Masks,mask,POS,62
Masks,mask,NEG,20
Masks,sheet,NEU,34
Masks,sheet,POS,17
Masks,sheet,NEG,6
Masks,clay,NEU,7
Masks,clay,POS,1
Masks,peel,NEU,409
Masks,peel,POS,182
Masks,peel,NEG,24
Masks,overnight,NEU,98
Masks,overnight,POS,6
Masks,overnight,NEG,1
Masks,mud,NEU,94
Masks,mud,POS,19
Masks,mud,NEG,1
Masks,bubble,POS,14
Masks,bubble,NEU,10
Treatments,treatment,NEU,259
Treatments,treatment,POS,48
Treatments,treatment,NEG,19
Treatments,spot,NEU,1052
Treatments,spot,POS,420
Treatments,spot,NEG,52
Treatments,acne,NEU,3608
Treatments,acne,POS,1339
Treatments,acne,NEG,315
Treatments,scar,NEU,874
Treatments,scar,POS,320
Treatments,scar,NEG,73
Treatments,retinol,NEU,1133
Treatments,retinol,POS,263
Treatments,retinol,NEG,59
Treatments,peptide,NEU,417
Treatments,peptide,POS,110
Treatments,peptide,NEG,11
Treatments,dry,NEU,1259
Treatments,dry,POS,324
Treatments,dry,NEG,141
Sunscreens,sunscreen,NEU,2160
Sunscreens,sunscreen,POS,1161
Sunscreens,sunscreen,NEG,118
Sunscreens,mineral,NEU,156
Sunscreens,mineral,POS,72
Sunscreens,mineral,NEG,6
Sunscreens,tinted,NEU,10
Sunscreens,tinted,POS,1
Sunscreens,stick,NEU,533
Sunscreens,stick,POS,171
Sunscreens,stick,NEG,40
Mists,mist,NEU,78
Mists,mist,POS,35
Mists,mist,NEG,27
Mists,hydrating,NEU,11
Mists,hydrating,POS,9
Mists,setting,NEG,2
Mists,soothing,POS,3
Mists,soothing,NEU,1
Mists,refreshing,POS,3
Mists,refreshing,NEU,3
Mists,refreshing,NEG,1
