Keywords,Sub-keywords,Frequency
discount,push_aside,0
discount,discount_rate,0
discount,ignore,36
discount,bank_discount,0
discount,discount,93
discount,dismiss,0
discount,rebate,5
discount,deduction,2
discount,brush_aside,0
discount,brush_off,0
discount,price_reduction,0
discount,disregard,0
sale,sale,82
sale,cut-rate_sale,0
sale,sales_event,0
sale,sales_agreement,0
offer,offer_up,0
offer,fling,0
offer,offering,12
offer,pass,380
offer,pop_the_question,0
offer,put_up,0
offer,go,5786
offer,crack,16
offer,volunteer,0
offer,declare_oneself,0
offer,tender,0
offer,whirl,0
offer,provide,324
offer,propose,1
offer,offer,135
offer,proffer,0
offer,bid,47
offer,extend,11
promotion,advancement,0
promotion,publicity,0
promotion,packaging,411
promotion,forwarding,0
promotion,promotion,13
promotion,furtherance,0
promotion,promotional_material,0
coupon,voucher,19
coupon,coupon,36
voucher,voucher,19
voucher,verifier,0
voucher,coupon,36
