Keywords,Sub-keywords,Frequency
Cleansers,cleanser,1400
Cleansers,foam,245
Cleansers,micellar,13
Exfoliants,exfoliant,109
Exfoliants,aha,1021
Exfoliants,bha,844
Exfoliants,pha,648
Exfoliants,enzyme,3
Exfoliants,exfoliating,1
Exfoliants,scrub,44
Toners,toner,1130
Toners,hydrating,18
Toners,essence,72
Serums,serum,7924
Serums,brightening,166
Serums,antioxidant,117
Serums,calming,2
Moisturizers,moisturizer,1837
Moisturizers,lotion,471
Moisturizers,ointment,2
Moisturizers,hydrating,18
Masks,mask,262
Masks,sheet,16
Masks,clay,7
Masks,peel,641
Masks,overnight,105
Masks,mud,1
Masks,bubble,21
Treatments,treatment,333
Treatments,spot,1370
Treatments,acne,6209
Treatments,scar,1259
Treatments,retinol,1663
Treatments,peptide,369
Treatments,dry,1695
Sunscreens,sunscreen,3764
Sunscreens,mineral,233
Sunscreens,tinted,9
Sunscreens,stick,555
Mists,mist,22
Mists,hydrating,18
Mists,setting,0
Mists,soothing,2
Mists,refreshing,7
