Category,Subcategory,Frequency
Cleansers,cleanser,1318
Cleansers,foam,272
Cleansers,micellar,11
Exfoliants,exfoliant,112
Exfoliants,aha,2646
Exfoliants,bha,1595
Exfoliants,pha,3048
Exfoliants,enzyme,6
Exfoliants,exfoliating,2
Exfoliants,scrub,43
Toners,toner,1077
Toners,hydrating,20
Toners,essence,137
Serums,serum,7156
Serums,brightening,160
Serums,antioxidant,124
Serums,calming,4
Moisturizers,moisturizer,1706
Moisturizers,lotion,449
Moisturizers,ointment,12
Moisturizers,hydrating,20
Masks,mask,293
Masks,sheet,57
Masks,clay,8
Masks,peel,615
Masks,overnight,105
Masks,mud,114
Masks,bubble,24
Treatments,treatment,326
Treatments,spot,1524
Treatments,acne,5262
Treatments,scar,1267
Treatments,retinol,1455
Treatments,peptide,538
Treatments,dry,1724
Sunscreens,sunscreen,3439
Sunscreens,mineral,234
Sunscreens,tinted,11
Sunscreens,stick,744
Mists,mist,140
Mists,hydrating,20
Mists,setting,2
Mists,soothing,4
Mists,refreshing,7
